team_a,team_b,mean_diff_team_a,count
Angola,Burkina Faso,0.0,8
Angola,Burundi,0.5,2
Angola,Cameroon,-0.42857142857142855,14
Angola,Canary Islands,-2.0,1
Angola,Cape Verde,-0.1111111111111111,9
Angola,Central African Republic,1.2,5
Angola,Chad,0.0,2
Angola,Comoros,1.0,2
Angola,Congo,0.08333333333333333,12
Angola,Cuba,1.0,1
Angola,DR Congo,-0.5333333333333333,15
Angola,Egypt,-0.5,8
Angola,Equatorial Guinea,0.6,5
Angola,Eritrea,2.5,2
Angola,Estonia,-1.0,1
Angola,Eswatini,1.3,10
Angola,Gabon,0.6363636363636364,22
Angola,Gambia,-0.16666666666666666,6
Angola,Ghana,-0.2,10
Angola,Guinea,-0.6666666666666666,3
Angola,Guinea-Bissau,1.3333333333333333,6
Angola,Iran,-1.25,4
Angola,Ivory Coast,-1.8333333333333333,6
Angola,Japan,-1.0,1
Angola,Kenya,0.25,4
Angola,Latvia,0.0,1
Angola,Lesotho,1.0909090909090908,11
Angola,Liberia,1.0,3
Angola,Libya,0.0,6
Angola,Madagascar,-0.16666666666666666,6
Angola,Malawi,0.3,10
Angola,Mali,-0.8,5
Angola,Malta,1.0,1
Angola,Mauritania,0.6,5
Angola,Mauritius,0.4,10
Angola,Mexico,-0.5,2
Angola,Morocco,-0.625,8
Angola,Mozambique,0.3888888888888889,18
Angola,Namibia,0.9285714285714286,14
Angola,Niger,1.5,4
Angola,Nigeria,-0.18181818181818182,11
Angola,North Macedonia,0.0,1
Angola,Portugal,-3.6666666666666665,3
Angola,Rwanda,1.0,3
Angola,Saudi Arabia,0.0,1
Angola,Senegal,0.14285714285714285,7
Angola,Seychelles,3.0,1
Angola,Sierra Leone,2.0,1
Angola,South Africa,-0.8,15
Angola,South Korea,-1.0,1
Angola,Sudan,0.4,5
Angola,São Tomé and Príncipe,0.5,4
Angola,Tanzania,0.3333333333333333,3
Angola,Togo,0.8571428571428571,7
Angola,Tunisia,-1.6666666666666667,6
Angola,Turkey,-1.0,1
Angola,Uganda,0.0,8
Angola,United Arab Emirates,2.0,1
Angola,Uruguay,-2.0,1
Angola,Venezuela,0.0,1
Angola,Zambia,-0.058823529411764705,17
Angola,Zimbabwe,-0.14285714285714285,21
Anguilla,Antigua and Barbuda,-3.0,2
Anguilla,Bahamas,0.0,5
Anguilla,Barbados,-3.5,2
Anguilla,Belize,-1.0,2
Anguilla,Bonaire,-2.5,2
Anguilla,British Virgin Islands,-1.75,8
Anguilla,Cayman Islands,-3.5,2
Anguilla,Cuba,-4.0,2
Anguilla,Dominica,-2.0,4
Anguilla,Dominican Republic,-3.6,5
Anguilla,El Salvador,-6.333333333333333,3
Anguilla,French Guiana,-4.0,2
Anguilla,Grenada,-7.5,2
Anguilla,Guadeloupe,-9.0,1
Anguilla,Guatemala,-7.5,2
Anguilla,Guyana,-14.0,1
Anguilla,Martinique,-2.0,1
Anguilla,Montserrat,0.25,4
Anguilla,Nicaragua,-4.666666666666667,3
Anguilla,Panama,-13.0,1
Anguilla,Puerto Rico,-3.6,5
Anguilla,Saint Barthélemy,1.0,1
Anguilla,Saint Kitts and Nevis,-5.0,3
Anguilla,Saint Lucia,-3.0,3
Anguilla,Saint Martin,-2.5,8
Anguilla,Saint Vincent and the Grenadines,-4.0,3
Anguilla,Sint Maarten,-2.0,5
Anguilla,Suriname,-4.0,1
Anguilla,Trinidad and Tobago,-12.5,2
Anguilla,Turks and Caicos Islands,0.25,4
Anguilla,United States Virgin Islands,-1.5,2
Antigua and Barbuda,Aruba,1.1666666666666667,6
Antigua and Barbuda,Bahamas,3.0,3
Antigua and Barbuda,Barbados,-0.6666666666666666,9
Antigua and Barbuda,Bermuda,-0.3076923076923077,13
Antigua and Barbuda,British Virgin Islands,1.0,5
Antigua and Barbuda,Cayman Islands,-1.0,3
Antigua and Barbuda,Cuba,-1.875,8
Antigua and Barbuda,Curaçao,0.09090909090909091,11
Antigua and Barbuda,Dominica,0.2777777777777778,18
Antigua and Barbuda,Dominican Republic,-2.8,5
Antigua and Barbuda,El Salvador,-3.0,1
Antigua and Barbuda,Estonia,-1.0,1
Antigua and Barbuda,French Guiana,-0.3333333333333333,3
Antigua and Barbuda,Grenada,0.0,6
Antigua and Barbuda,Guadeloupe,-0.6923076923076923,13
Antigua and Barbuda,Guatemala,-2.857142857142857,7
Antigua and Barbuda,Guyana,-1.1428571428571428,14
Antigua and Barbuda,Haiti,-0.75,12
Antigua and Barbuda,Honduras,-2.0,1
Antigua and Barbuda,Hungary,-3.0,1
Antigua and Barbuda,Jamaica,-1.75,12
Antigua and Barbuda,Martinique,-1.2,10
Antigua and Barbuda,Montserrat,3.5,4
Antigua and Barbuda,Puerto Rico,-3.0,2
Antigua and Barbuda,Saint Kitts and Nevis,-0.17647058823529413,17
Antigua and Barbuda,Saint Lucia,0.35714285714285715,14
Antigua and Barbuda,Saint Martin,1.0,1
Antigua and Barbuda,Saint Vincent and the Grenadines,-1.75,4
Antigua and Barbuda,Sint Maarten,-2.0,1
Antigua and Barbuda,Suriname,-2.2,5
Antigua and Barbuda,Trinidad and Tobago,-1.6153846153846154,13
Antigua and Barbuda,United States,-1.5,2
Antigua and Barbuda,United States Virgin Islands,5.5,4
Arameans Suryoye,Ellan Vannin,-3.0,1
Arameans Suryoye,Iraqi Kurdistan,0.5,2
Arameans Suryoye,Occitania,0.0,1
Arameans Suryoye,Padania,-2.5,2
Arameans Suryoye,Provence,5.0,1
Arameans Suryoye,South Ossetia,3.0,1
Arameans Suryoye,Sápmi,1.0,1
Arameans Suryoye,Tamil Eelam,2.0,1
Argentina,Australia,0.8888888888888888,9
Argentina,Austria,2.0,3
Argentina,Basque Country,3.0,2
Argentina,Belarus,0.0,1
Argentina,Belgium,1.4,5
Argentina,Bolivia,1.8604651162790697,43
Argentina,Bosnia and Herzegovina,2.6666666666666665,3
Argentina,Brazil,-0.01818181818181818,110
Argentina,Bulgaria,1.3333333333333333,9
Argentina,Cameroon,-0.5,2
Argentina,Canada,3.0,3
Argentina,Cape Verde,1.0,1
Argentina,Catalonia,0.6666666666666666,3
Argentina,Chile,1.2637362637362637,91
Argentina,China,-1.0,1
Argentina,Colombia,0.7441860465116279,43
Argentina,Costa Rica,1.2857142857142858,7
Argentina,Croatia,0.16666666666666666,6
Argentina,Curaçao,7.0,1
Argentina,Czechoslovakia,-0.5,6
Argentina,Denmark,-1.0,2
Argentina,Ecuador,1.4761904761904763,42
Argentina,Egypt,4.0,2
Argentina,El Salvador,2.3333333333333335,3
Argentina,England,-0.26666666666666666,15
Argentina,Estonia,5.0,1
Argentina,France,0.3076923076923077,13
Argentina,German DR,1.0,2
Argentina,Germany,0.043478260869565216,23
Argentina,Ghana,2.0,1
Argentina,Greece,3.0,2
Argentina,Guatemala,3.3333333333333335,3
Argentina,Haiti,3.6666666666666665,3
Argentina,Honduras,2.3333333333333335,3
Argentina,Hong Kong,7.0,1
Argentina,Hungary,1.2857142857142858,7
Argentina,Iceland,1.5,2
Argentina,India,1.0,1
Argentina,Indonesia,2.0,1
Argentina,Iran,0.5,2
Argentina,Iraq,4.0,1
Argentina,Israel,0.75,4
Argentina,Italy,-0.25,16
Argentina,Ivory Coast,2.5,2
Argentina,Jamaica,2.5,4
Argentina,Japan,1.5714285714285714,7
Argentina,Jordan,2.0,1
Argentina,Libya,2.0,1
Argentina,Lithuania,0.0,1
Argentina,Mauritania,1.0,1
Argentina,Mexico,0.78125,32
Argentina,Morocco,1.3333333333333333,3
Argentina,Netherlands,-0.7,10
Argentina,Nicaragua,4.0,1
Argentina,Nigeria,0.2222222222222222,9
Argentina,Northern Ireland,2.0,1
Argentina,Norway,-1.0,2
Argentina,Panama,3.0,3
Argentina,Paraguay,0.9906542056074766,107
Argentina,Peru,1.1607142857142858,56
